INFO 2025-10-05 00:23:30,847 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 52
INFO 2025-10-05 00:23:31,288 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 24
INFO 2025-10-05 00:23:31,798 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 52
INFO 2025-10-05 00:23:36,195 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 52
INFO 2025-10-05 00:23:36,614 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 24
INFO 2025-10-05 00:23:37,017 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 52
INFO 2025-10-05 11:53:53,653 autoreload Watching for file changes with StatReloader
INFO 2025-10-05 11:55:26,377 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-10-05 11:55:26,635 basehttp "POST /api/auth/login/ HTTP/1.1" 200 665
INFO 2025-10-05 11:55:30,656 basehttp "OPTIONS /api/moderation/policies/ HTTP/1.1" 200 0
INFO 2025-10-05 11:55:30,662 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 52
INFO 2025-10-05 11:55:32,583 basehttp "OPTIONS /api/moderation/history/ HTTP/1.1" 200 0
INFO 2025-10-05 11:55:32,597 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 24
INFO 2025-10-05 11:55:34,424 basehttp "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
INFO 2025-10-05 11:55:34,453 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 31
INFO 2025-10-05 12:13:11,900 basehttp "POST /api/auth/login/ HTTP/1.1" 200 665
INFO 2025-10-05 12:13:14,196 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 31
INFO 2025-10-05 12:15:39,524 basehttp "POST /api/auth/login/ HTTP/1.1" 200 665
INFO 2025-10-05 12:18:59,360 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 24
INFO 2025-10-05 12:18:59,361 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 52
INFO 2025-10-05 12:19:42,347 basehttp "OPTIONS /api/moderation/upload-policy/ HTTP/1.1" 200 0
INFO 2025-10-05 12:19:42,393 views User admin uploading 1 policy files
INFO 2025-10-05 12:19:42,408 views Saved policy file: Hate speech not allowed.pdf
INFO 2025-10-05 12:19:42,408 policy_store Building/updating policy store with 1 files
DEBUG 2025-10-05 12:19:42,479 policy_store Loaded /home/vasu/repos/sem5project/media/policies/Hate_speech_not_allowed_3Euvnw8.pdf
INFO 2025-10-05 12:19:42,479 policy_store Split into 1 chunks
INFO 2025-10-05 12:19:45,251 SentenceTransformer Use pytorch device_name: cuda:0
INFO 2025-10-05 12:19:45,251 SentenceTransformer Load pretrained SentenceTransformer: all-MiniLM-L12-v2
INFO 2025-10-05 12:19:49,013 policy_store Updating existing policy store
INFO 2025-10-05 12:19:49,290 posthog Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
INFO 2025-10-05 12:19:50,076 policy_store Policy store updated successfully
INFO 2025-10-05 12:19:50,076 views Policy store updated successfully
INFO 2025-10-05 12:19:50,078 basehttp "POST /api/moderation/upload-policy/ HTTP/1.1" 201 357
INFO 2025-10-05 12:19:50,128 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:19:55,349 basehttp "OPTIONS /api/moderation/moderate/ HTTP/1.1" 200 0
INFO 2025-10-05 12:19:55,393 views User admin moderating file: I hate you.pdf
INFO 2025-10-05 12:19:55,393 SentenceTransformer Use pytorch device_name: cuda:0
INFO 2025-10-05 12:19:55,393 SentenceTransformer Load pretrained SentenceTransformer: all-MiniLM-L12-v2
INFO 2025-10-05 12:19:58,324 policy_store Loading existing policy store
INFO 2025-10-05 12:19:58,327 moderation_engine Starting moderation for: I hate you.pdf
INFO 2025-10-05 12:19:58,327 moderation_engine Loading PDF: I hate you.pdf
INFO 2025-10-05 12:19:58,329 moderation_engine Split I hate you.pdf into 1 chunks
INFO 2025-10-05 12:19:58,338 moderation_engine Processing 1 chunks for moderation
INFO 2025-10-05 12:19:58,338 llm Initializing RetrievalQA chain with k=3
INFO 2025-10-05 12:19:58,475 llm RetrievalQA moderation chain initialized successfully
DEBUG 2025-10-05 12:19:58,475 moderation_engine Moderating chunk 0/1: len=10
INFO 2025-10-05 12:19:58,771 _client HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-10-05 12:19:58,788 moderation_engine Chunk 0: VIOLATION detected
INFO 2025-10-05 12:19:58,789 moderation_engine Moderation complete for I hate you.pdf: verdict=violation_found, violations=1, reviews=0, allowed=0/1
INFO 2025-10-05 12:19:58,815 views Moderation complete for I hate you.pdf: verdict=violation_found
INFO 2025-10-05 12:19:58,818 basehttp "POST /api/moderation/moderate/ HTTP/1.1" 200 682
INFO 2025-10-05 12:19:58,869 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 250
INFO 2025-10-05 12:20:08,170 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:20:08,170 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 250
INFO 2025-10-05 12:20:08,178 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:20:08,180 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 250
INFO 2025-10-05 12:20:09,520 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 250
INFO 2025-10-05 12:20:09,520 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:20:09,526 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:20:09,529 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 250
INFO 2025-10-05 12:20:31,120 views User admin moderating file: BNY cover letter.pdf
INFO 2025-10-05 12:20:31,122 SentenceTransformer Use pytorch device_name: cuda:0
INFO 2025-10-05 12:20:31,122 SentenceTransformer Load pretrained SentenceTransformer: all-MiniLM-L12-v2
INFO 2025-10-05 12:20:34,368 policy_store Loading existing policy store
INFO 2025-10-05 12:20:34,371 moderation_engine Starting moderation for: BNY cover letter.pdf
INFO 2025-10-05 12:20:34,371 moderation_engine Loading PDF: BNY cover letter.pdf
INFO 2025-10-05 12:20:34,395 moderation_engine Split BNY cover letter.pdf into 2 chunks
INFO 2025-10-05 12:20:34,396 moderation_engine Processing 2 chunks for moderation
INFO 2025-10-05 12:20:34,396 llm Initializing RetrievalQA chain with k=3
INFO 2025-10-05 12:20:34,426 llm RetrievalQA moderation chain initialized successfully
DEBUG 2025-10-05 12:20:34,426 moderation_engine Moderating chunk 0/2: len=976
INFO 2025-10-05 12:20:34,764 _client HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
DEBUG 2025-10-05 12:20:34,765 moderation_engine Chunk 0: OK
DEBUG 2025-10-05 12:20:34,765 moderation_engine Moderating chunk 1/2: len=937
INFO 2025-10-05 12:20:35,058 _client HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
DEBUG 2025-10-05 12:20:35,059 moderation_engine Chunk 1: OK
INFO 2025-10-05 12:20:35,059 moderation_engine Moderation complete for BNY cover letter.pdf: verdict=clean, violations=0, reviews=0, allowed=2/2
INFO 2025-10-05 12:20:35,076 views Moderation complete for BNY cover letter.pdf: verdict=clean
INFO 2025-10-05 12:20:35,078 basehttp "POST /api/moderation/moderate/ HTTP/1.1" 200 281
INFO 2025-10-05 12:20:35,088 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 473
INFO 2025-10-05 12:21:02,408 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:21:02,932 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 473
INFO 2025-10-05 12:21:07,213 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:21:09,338 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:21:09,850 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 473
INFO 2025-10-05 12:21:10,402 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 257
INFO 2025-10-05 12:21:10,799 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 473
